age,monthly_income,category,amount,payment_method,merchant_type,days_since_last_expense,monthly_expense_count,budget_limit,amount_to_budget_ratio,income_expense_ratio,high_risk_expense
56,141209,Bills,2622.5,Cash,Utility,19,36,28343,0.093,0.0186,0
46,107124,Food,3070.53,Net Banking,Local,0,25,22206,0.138,0.0287,0
32,106659,Shopping,5460.58,Cash,Utility,15,11,25160,0.217,0.0512,1
25,90713,Healthcare,1181.69,Cash,Subscription,29,44,22835,0.052,0.013,0
38,90418,Shopping,5483.22,Net Banking,Local,28,14,19985,0.274,0.0606,1
56,143232,Other,1734.55,UPI,Education,22,45,7109,0.244,0.0121,0
36,46575,Healthcare,972.41,Net Banking,Education,23,29,9814,0.099,0.0209,0
40,78852,Food,1201.12,UPI,Restaurant,1,10,16758,0.072,0.0152,0
28,147079,Other,2521.54,Cash,Online,6,50,5809,0.434,0.0171,0
28,91242,Shopping,863.76,UPI,Utility,5,48,511,1.69,0.0095,1
41,44257,Travel,1350.68,Wallet,Restaurant,4,5,24654,0.055,0.0305,0
53,76246,Shopping,2187.09,Net Banking,Restaurant,28,8,15889,0.138,0.0287,0
57,16435,Education,4457.26,Wallet,Transport,3,46,26824,0.166,0.2712,1
41,106357,Bills,3014.05,Cash,Utility,1,5,28185,0.107,0.0283,0
20,98807,Entertainment,1784.08,Net Banking,Restaurant,9,58,26952,0.066,0.0181,0
39,130953,Travel,2514.01,Cash,Transport,21,24,27695,0.091,0.0192,0
19,138797,Education,2044.55,Wallet,Restaurant,4,40,22297,0.092,0.0147,0
41,78888,Healthcare,674.92,Cash,Online,17,57,14171,0.048,0.0086,0
47,88609,Bills,4945.09,Net Banking,Subscription,9,26,6274,0.788,0.0558,0
55,24077,Food,4501.52,Net Banking,Transport,22,6,17063,0.264,0.187,1
19,35953,Travel,1640.7,Cash,Subscription,21,16,1296,1.266,0.0456,1
38,129682,Entertainment,1233.58,Net Banking,Utility,27,36,7779,0.159,0.0095,0
50,82889,Bills,687.98,Net Banking,Online,14,12,28889,0.024,0.0083,0
29,130374,Healthcare,2617.93,Cash,Transport,30,11,7688,0.341,0.0201,0
39,39860,Other,2629.07,Wallet,Utility,26,3,24196,0.109,0.066,0
42,92475,Other,922.37,Net Banking,Restaurant,8,44,2524,0.365,0.01,0
44,102266,Entertainment,2060.92,Net Banking,Education,10,37,8166,0.252,0.0202,0
59,115732,Food,2954.08,Net Banking,Local,25,6,3717,0.795,0.0255,0
45,42083,Food,1171.63,Net Banking,Utility,20,19,7084,0.165,0.0278,0
33,72372,Healthcare,1499.81,Cash,Subscription,24,18,25962,0.058,0.0207,0
32,138786,Travel,1489.37,Wallet,Online,24,16,27544,0.054,0.0107,0
20,22813,Healthcare,969.04,Wallet,Online,28,23,28463,0.034,0.0425,0
54,46598,Shopping,1521.87,UPI,Utility,16,43,5785,0.263,0.0327,0
24,108106,Food,454.62,Net Banking,Restaurant,20,37,7870,0.058,0.0042,0
38,42082,Bills,1434.27,Net Banking,Local,8,9,18403,0.078,0.0341,0
26,44241,Shopping,1450.2,UPI,Subscription,22,3,23495,0.062,0.0328,0
